team,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,Total
Brady Bunch,40,40,45,39,45,41,46,296
Those Girls,48,47,40,39,47,43,28,292
Smarty Pints,42,43,47,37,40,36,38,283
Team RaMarkable,46,40,36,42,49,0,43,256
Educated Guessers,44,34,33,35,38,39,32,255
Taking A Whiz In The Quiz Pool,29,0,40,31,29,36,41,206
Losers and Boozers,26,32,38,0,43,32,30,201
Jane St. Brewing,0,36,26,33,40,28,34,197
Quiz In My Pants,26,0,31,0,34,0,0,91
"Blood Sweat, and Beers",0,0,43,0,0,0,43,86
The Bike Club,0,26,0,29,0,30,0,85
Palest Ales,0,0,0,44,36,0,0,80
Who's Crying Now,0,45,33,0,0,0,0,78
Mirkwood,0,0,0,0,0,34,36,70
You're A Quizard Harry,0,38,0,0,27,0,0,65
Les Quizerables,0,28,26,0,0,0,0,54
Trivia Monsters,38,0,0,0,0,0,0,38
Coast Crew,0,0,0,0,0,0,38,38
Who's Crying Now?,36,0,0,0,0,0,0,36
Weapons of Mass Intoxication,33,0,0,0,0,0,0,33
The Wambsgans,33,0,0,0,0,0,0,33
I Got Nothing,0,0,0,0,32,0,0,32
The Peanut Butter Privateers,0,30,0,0,0,0,0,30
Team Canada 6942,0,0,29,0,0,0,0,29
Dumb and Dumber,29,0,0,0,0,0,0,29
Double D8,29,0,0,0,0,0,0,29
Canaussies,0,0,0,0,29,0,0,29
Many Beers of Experience,0,0,0,27,0,0,0,27
Must Love Beer,0,0,0,0,0,0,26,26
Walk In The Park,0,0,0,0,25,0,0,25
Jamsquad,0,24,0,0,0,0,0,24
Ali Cat,0,0,0,0,23,0,0,23
