team,30-Mar,06-Apr,13-Apr,20-Apr,27-Apr,04-May,11-May,
Those Girls,54,60,56,52,62.5,55.5,28,
Team RaMarkable,44,49,53,54,67,,50,
Smarty Pints,42,51,59,50.5,58.5,48.5,46,
Brady Bunch,41,49,58,52,59.5,54.5,51,
Educated Guessers,43,41,52,50,57.5,52,41,
Losers and Boozers,34,40,54,,59,41.5,36.5,
Jane St. Brewing,,42,46,48,58.5,38.5,42,
Taking A Whiz In The Quiz Pool,36,,56,46,53,48.5,49,
Quiz In My Pants,34,,49,,54,,,
Palest Ales,,,,55,56,,,
Who's Crying Now,,54,52,,,,,
You're A Quizard Harry,,43,,,47,,,
Les Quizerables,,35,46,,,,,
The Bike Club,,25,,43,,39.5,,
"Blood Sweat, and Beers",,,57,,,,50,
Trivia Monsters,39,,,,,,,
Who's Crying Now?,38,,,,,,,
The Wambsgans,37,,,,,,,
Weapons of Mass Intoxication,37,,,,,,,
I Got Nothing,,,,,53.5,,,
The Peanut Butter Privateers,,39,,,,,,
Team Canada 6942,,,47,,,,,
Dumb and Dumber,36,,,,,,,
Double D8,36,,,,,,,
Canaussies,,,,,53,,,
Many Beers of Experience,,,,37,,,,
Walk In The Park,,,,,36.5,,,
Jamsquad,,8,,,,,,
Ali Cat,,,,,27,,,
Mirkwood,,,,,,43,43,
Coast Crew,,,,,,,46,
Must Love Beer,,,,,,,23,
