team,Unnamed: 0,score,base_score,bonus_score,adjusted_score
Those Girls,3,170,102,33,135
Smarty Pints,14,152,100,32,132
Brady Bunch,7,148,97,28,125
Team RaMarkable,10,146,96,26,122
Educated Guessers,13,136,91,20,111
Losers and Boozers,23,128,85,11,96
Who's Crying Now,20,106,63,15,78
Taking A Whiz In The Quiz Pool,14,92,59,10,69
Jane St. Brewing,13,88,56,6,62
Quiz In My Pants,22,83,54,3,57
Les Quizerables,19,81,52,2,54
"Blood Sweat, and Beers",2,57,33,10,43
Trivia Monsters,5,39,30,8,38
You're A Quizard Harry,5,43,31,7,38
Who's Crying Now?,6,38,29,7,36
The Wambsgans,7,37,28,5,33
Weapons of Mass Intoxication,8,37,28,5,33
The Peanut Butter Privateers,7,39,27,3,30
Team Canada 6942,10,47,27,2,29
Dumb and Dumber,9,36,27,2,29
Double D8,11,36,27,2,29
The Bike Club,9,25,25,1,26
Jamsquad,10,8,24,0,24
